Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,78.824089,78.919693,77.256210,78.451241,47.235584,12253995
2006-01-04,78.585083,78.871895,77.753349,78.346077,47.172283,10285109
2006-01-05,77.820267,79.254303,77.676865,78.871895,47.488861,7545216
2006-01-06,80.258125,81.290634,79.741875,81.214149,48.899158,8573957
2006-01-09,80.210327,80.544930,79.713196,80.047798,48.196892,7166251
2006-01-10,79.493309,80.420647,79.464630,80.372849,48.392590,5962200
2006-01-11,80.659653,81.080307,79.732315,80.468452,48.450146,6042114
2006-01-12,80.133842,80.267685,79.732315,79.894836,48.104790,5150609
2006-01-13,79.349907,79.780113,78.871895,79.512428,47.874535,7239994
2006-01-17,79.158699,79.502869,78.910133,79.349907,47.776665,9119446
2006-01-18,80.305923,80.975143,79.847038,80.114723,48.237183,11490101
2006-01-19,80.439774,80.678780,79.369026,79.435944,47.828487,6781741
2006-01-20,79.388145,79.397705,77.676865,77.782028,46.832657,9001667
2006-01-23,77.753349,78.317398,77.361374,77.829826,46.861443,6395349
2006-01-24,77.810707,78.537285,77.246651,77.294456,46.539097,6348174
2006-01-25,77.485657,78.030594,77.065010,77.351814,46.573627,6667518
2006-01-26,77.915871,78.059273,77.045891,77.170174,46.464268,8169469
2006-01-27,77.198853,78.173996,77.198853,77.456978,46.636959,6384156
2006-01-30,76.682602,78.212234,76.682602,78.040154,46.988064,5570055
2006-01-31,77.915871,78.393883,77.600380,77.724663,46.798134,7083094
2006-02-01,77.342255,78.623329,77.103249,78.336517,47.166504,5668588
2006-02-02,77.868073,78.001915,77.342255,77.657745,46.757839,6483108
2006-02-03,77.007645,77.217972,76.214149,76.453156,46.032539,10305192
2006-02-06,76.424477,76.434036,75.458893,76.013382,45.767757,10008651
2006-02-07,76.003822,76.663483,75.812622,76.338432,45.963478,5488676
2006-02-08,77.036331,77.342255,76.711281,77.246651,46.627087,5260543
2006-02-09,76.864243,77.246651,76.003822,76.864243,46.396271,7959223
